player_id,player_name,stat,weight,raw_season_avg,weighted_contribution
12643,Mitch Lewis,Metres gained / 100 per game,0.06,1.27,0.0762
12643,Mitch Lewis,Tackles / game,0.07,0.75,0.0525
12643,Mitch Lewis,Contested marks / game,0.09,1.75,0.1575
12643,Mitch Lewis,Intercepts / game,0.09,0.25,0.0225
12643,Mitch Lewis,Clearances / game,0.11,0.25,0.0275
12643,Mitch Lewis,Hit-outs / game,0.03,0.25,0.0075
12643,Mitch Lewis,Hit-outs to advantage / game,0.05,0.0,0.0
12643,Mitch Lewis,Clangers / game (penalty),-0.06,2.0,-0.12
13039,Cam Mackenzie,Disposals / game,0.22,15.0,3.3
13039,Cam Mackenzie,Goals / game,0.18,0.45,0.081
13039,Cam Mackenzie,Score involvements / game,0.11,3.3,0.363
13039,Cam Mackenzie,Metres gained / 100 per game,0.06,2.4305,0.1458
13039,Cam Mackenzie,Tackles / game,0.07,2.5,0.175
13039,Cam Mackenzie,Contested marks / game,0.09,0.0,0.0
13039,Cam Mackenzie,Intercepts / game,0.09,1.45,0.1305
13039,Cam Mackenzie,Clearances / game,0.11,2.3,0.253
13039,Cam Mackenzie,Hit-outs / game,0.03,0.0,0.0
13039,Cam Mackenzie,Hit-outs to advantage / game,0.05,0.0,0.0
13039,Cam Mackenzie,Clangers / game (penalty),-0.06,1.85,-0.111
11960,Luke Breust,Disposals / game,0.22,7.8235,1.7212
11960,Luke Breust,Goals / game,0.18,1.1765,0.2118
11960,Luke Breust,Score involvements / game,0.11,3.6471,0.4012
11960,Luke Breust,Metres gained / 100 per game,0.06,1.33,0.0798
11960,Luke Breust,Tackles / game,0.07,1.2941,0.0906
11960,Luke Breust,Contested marks / game,0.09,0.1765,0.0159
11960,Luke Breust,Intercepts / game,0.09,0.3529,0.0318
11960,Luke Breust,Clearances / game,0.11,0.2941,0.0324
11960,Luke Breust,Hit-outs / game,0.03,0.0,0.0
11960,Luke Breust,Hit-outs to advantage / game,0.05,0.0,0.0
11960,Luke Breust,Clangers / game (penalty),-0.06,1.5294,-0.0918
12626,James Worpel,Disposals / game,0.22,22.0435,4.8496
12626,James Worpel,Goals / game,0.18,0.2609,0.047
12626,James Worpel,Score involvements / game,0.11,5.3478,0.5883
12626,James Worpel,Metres gained / 100 per game,0.06,3.5596,0.2136
12626,James Worpel,Tackles / game,0.07,4.3043,0.3013
12626,James Worpel,Contested marks / game,0.09,0.0,0.0
12626,James Worpel,Intercepts / game,0.09,2.1739,0.1957
12626,James Worpel,Clearances / game,0.11,5.2609,0.5787
12626,James Worpel,Hit-outs / game,0.03,0.0,0.0
12626,James Worpel,Hit-outs to advantage / game,0.05,0.0,0.0
12626,James Worpel,Clangers / game (penalty),-0.06,3.6087,-0.2165
12913,Jai Newcombe,Disposals / game,0.22,24.0435,5.2896
12913,Jai Newcombe,Goals / game,0.18,0.4348,0.0783
12913,Jai Newcombe,Score involvements / game,0.11,6.3478,0.6983
12913,Jai Newcombe,Metres gained / 100 per game,0.06,3.3057,0.1983
12913,Jai Newcombe,Tackles / game,0.07,4.3913,0.3074
12913,Jai Newcombe,Contested marks / game,0.09,0.3478,0.0313
12913,Jai Newcombe,Intercepts / game,0.09,2.5217,0.227
12913,Jai Newcombe,Clearances / game,0.11,6.0,0.66
12913,Jai Newcombe,Hit-outs / game,0.03,0.0,0.0
12913,Jai Newcombe,Hit-outs to advantage / game,0.05,0.0,0.0
12913,Jai Newcombe,Clangers / game (penalty),-0.06,3.6522,-0.2191
12989,Sam Butler,Disposals / game,0.22,5.0,1.1
12989,Sam Butler,Goals / game,0.18,0.0,0.0
12989,Sam Butler,Score involvements / game,0.11,1.5,0.165
12989,Sam Butler,Metres gained / 100 per game,0.06,1.005,0.0603
12989,Sam Butler,Tackles / game,0.07,1.5,0.105
12989,Sam Butler,Contested marks / game,0.09,0.0,0.0
12989,Sam Butler,Intercepts / game,0.09,0.0,0.0
12989,Sam Butler,Clearances / game,0.11,0.0,0.0
12989,Sam Butler,Hit-outs / game,0.03,0.0,0.0
12989,Sam Butler,Hit-outs to advantage / game,0.05,0.0,0.0
12989,Sam Butler,Clangers / game (penalty),-0.06,0.5,-0.03
12794,Will Day,Disposals / game,0.22,19.3125,4.2488
12794,Will Day,Goals / game,0.18,0.1875,0.0338
12794,Will Day,Score involvements / game,0.11,4.4375,0.4881
12794,Will Day,Metres gained / 100 per game,0.06,2.9044,0.1743
12794,Will Day,Tackles / game,0.07,4.625,0.3238
12794,Will Day,Contested marks / game,0.09,0.125,0.0112
12794,Will Day,Intercepts / game,0.09,2.8125,0.2531
12794,Will Day,Clearances / game,0.11,3.5625,0.3919
12794,Will Day,Hit-outs / game,0.03,0.0,0.0
12794,Will Day,Hit-outs to advantage / game,0.05,0.0,0.0
12794,Will Day,Clangers / game (penalty),-0.06,1.9375,-0.1162
13137,Calsher Dear,Disposals / game,0.22,6.9333,1.5253
13137,Calsher Dear,Goals / game,0.18,1.4,0.252
13137,Calsher Dear,Score involvements / game,0.11,3.4,0.374
13137,Calsher Dear,Metres gained / 100 per game,0.06,0.9553,0.0573
13137,Calsher Dear,Tackles / game,0.07,2.2667,0.1587
13137,Calsher Dear,Contested marks / game,0.09,0.9333,0.084
13137,Calsher Dear,Intercepts / game,0.09,0.6,0.054
13137,Calsher Dear,Clearances / game,0.11,0.1333,0.0147
13137,Calsher Dear,Hit-outs / game,0.03,0.0667,0.002
13137,Calsher Dear,Hit-outs to advantage / game,0.05,0.0,0.0
13137,Calsher Dear,Clangers / game (penalty),-0.06,1.7333,-0.104
12124,Sam Frost,Disposals / game,0.22,9.1304,2.0087
12124,Sam Frost,Goals / game,0.18,0.0,0.0
12124,Sam Frost,Score involvements / game,0.11,1.4783,0.1626
12124,Sam Frost,Metres gained / 100 per game,0.06,1.0452,0.0627
12124,Sam Frost,Tackles / game,0.07,1.6087,0.1126
12124,Sam Frost,Contested marks / game,0.09,0.4348,0.0391
12124,Sam Frost,Intercepts / game,0.09,4.9565,0.4461
12124,Sam Frost,Clearances / game,0.11,0.2174,0.0239
12124,Sam Frost,Hit-outs / game,0.03,0.087,0.0026
12124,Sam Frost,Hit-outs to advantage / game,0.05,0.0,0.0
12124,Sam Frost,Clangers / game (penalty),-0.06,1.5652,-0.0939
12571,Jack Scrimshaw,Disposals / game,0.22,17.5455,3.86
12571,Jack Scrimshaw,Goals / game,0.18,0.0,0.0
12571,Jack Scrimshaw,Score involvements / game,0.11,3.4545,0.38
12571,Jack Scrimshaw,Metres gained / 100 per game,0.06,2.7209,0.1633
12571,Jack Scrimshaw,Tackles / game,0.07,1.5455,0.1082
12571,Jack Scrimshaw,Contested marks / game,0.09,1.0,0.09
12571,Jack Scrimshaw,Intercepts / game,0.09,7.4545,0.6709
12571,Jack Scrimshaw,Clearances / game,0.11,0.2273,0.025
12571,Jack Scrimshaw,Hit-outs / game,0.03,0.0,0.0
12571,Jack Scrimshaw,Hit-outs to advantage / game,0.05,0.0,0.0
12571,Jack Scrimshaw,Clangers / game (penalty),-0.06,2.3636,-0.1418
13092,Henry Hustwaite,Disposals / game,0.22,6.5,1.43
13092,Henry Hustwaite,Goals / game,0.18,0.0,0.0
13092,Henry Hustwaite,Score involvements / game,0.11,1.0,0.11
13092,Henry Hustwaite,Metres gained / 100 per game,0.06,0.5675,0.034
13092,Henry Hustwaite,Tackles / game,0.07,2.0,0.14
13092,Henry Hustwaite,Contested marks / game,0.09,0.0,0.0
13092,Henry Hustwaite,Intercepts / game,0.09,1.0,0.09
13092,Henry Hustwaite,Clearances / game,0.11,1.25,0.1375
13092,Henry Hustwaite,Hit-outs / game,0.03,0.0,0.0
13092,Henry Hustwaite,Hit-outs to advantage / game,0.05,0.0,0.0
13092,Henry Hustwaite,Clangers / game (penalty),-0.06,1.75,-0.105
12846,Finn Maginness,Disposals / game,0.22,13.0909,2.88
12846,Finn Maginness,Goals / game,0.18,0.3636,0.0655
12846,Finn Maginness,Score involvements / game,0.11,2.8182,0.31
12846,Finn Maginness,Metres gained / 100 per game,0.06,1.8336,0.11
12846,Finn Maginness,Tackles / game,0.07,1.8182,0.1273
12846,Finn Maginness,Contested marks / game,0.09,0.2727,0.0245
12846,Finn Maginness,Intercepts / game,0.09,1.2727,0.1145
12846,Finn Maginness,Clearances / game,0.11,0.8182,0.09
12846,Finn Maginness,Hit-outs / game,0.03,0.0,0.0
12846,Finn Maginness,Hit-outs to advantage / game,0.05,0.0,0.0
12846,Finn Maginness,Clangers / game (penalty),-0.06,1.6364,-0.0982
